production,lag_1,lag_2,lag_3
104.1677,96.2302,92.1938,92.8576
118.988,104.1677,96.2302,92.1938
122.1755,118.988,104.1677,96.2302
121.4803,122.1755,118.988,104.1677
105.0701,121.4803,122.1755,118.988
102.2842,105.0701,121.4803,122.1755
94.8146,102.2842,105.0701,121.4803
89.6044,94.8146,102.2842,105.0701
88.4397,89.6044,94.8146,102.2842
94.8144,88.4397,89.6044,94.8146
95.7128,94.8144,88.4397,89.6044
103.4214,95.7128,94.8144,88.4397
108.6304,103.4214,95.7128,94.8144
124.8315,108.6304,103.4214,95.7128
124.8048,124.8315,108.6304,103.4214
122.772,124.8048,124.8315,108.6304
105.333,122.772,124.8048,124.8315
100.7475,105.333,122.772,124.8048
98.4825,100.7475,105.333,122.772
89.3258,98.4825,100.7475,105.333
87.0124,89.3258,98.4825,100.7475
93.7943,87.0124,89.3258,98.4825
96.4548,93.7943,87.0124,89.3258
102.9823,96.4548,93.7943,87.0124
109.7563,102.9823,96.4548,93.7943
123.0683,109.7563,102.9823,96.4548
123.1853,123.0683,109.7563,102.9823
124.9834,123.1853,123.0683,109.7563
107.7064,124.9834,123.1853,123.0683
99.2227,107.7064,124.9834,123.1853
96.1946,99.2227,107.7064,124.9834
94.2656,96.1946,99.2227,107.7064
93.5966,94.2656,96.1946,99.2227
98.2886,93.5966,94.2656,96.1946
98.2274,98.2886,93.5966,94.2656
102.2729,98.2274,98.2886,93.5966
107.2035,102.2729,98.2274,98.2886
120.4112,107.2035,102.2729,98.2274
123.8626,120.4112,107.2035,102.2729
128.9061,123.8626,120.4112,107.2035
104.1852,128.9061,123.8626,120.4112
105.5477,104.1852,128.9061,123.8626
102.9177,105.5477,104.1852,128.9061
94.808,102.9177,105.5477,104.1852
97.0557,94.808,102.9177,105.5477
100.4093,97.0557,94.808,102.9177
98.2829,100.4093,97.0557,94.808
108.0978,98.2829,100.4093,97.0557
114.7798,108.0978,98.2829,100.4093
126.2366,114.7798,108.0978,98.2829
133.8463,126.2366,114.7798,108.0978
136.151,133.8463,126.2366,114.7798
110.6349,136.151,133.8463,126.2366
109.6545,110.6349,136.151,133.8463
106.5499,109.6545,110.6349,136.151
98.1605,106.5499,109.6545,110.6349
97.3783,98.1605,106.5499,109.6545
101.575,97.3783,98.1605,106.5499
98.3122,101.575,97.3783,98.1605
109.9673,98.3122,101.575,97.3783
115.0362,109.9673,98.3122,101.575
129.5071,115.0362,109.9673,98.3122
135.1607,129.5071,115.0362,109.9673
136.0268,135.1607,129.5071,115.0362
119.7766,136.0268,135.1607,129.5071
117.1886,119.7766,136.0268,135.1607
110.8164,117.1886,119.7766,136.0268
106.1647,110.8164,117.1886,119.7766
107.1149,106.1647,110.8164,117.1886
110.8432,107.1149,106.1647,110.8164
109.0117,110.8432,107.1149,106.1647
117.6771,109.0117,110.8432,107.1149
120.9282,117.6771,109.0117,110.8432
132.6661,120.9282,117.6771,109.0117
136.9855,132.6661,120.9282,117.6771
135.9605,136.9855,132.6661,120.9282
117.3789,135.9605,136.9855,132.6661
114.6903,117.3789,135.9605,136.9855
107.101,114.6903,117.3789,135.9605
106.2725,107.101,114.6903,117.3789
107.8371,106.2725,107.101,114.6903
108.3356,107.8371,106.2725,107.101
107.8132,108.3356,107.8371,106.2725
112.5035,107.8132,108.3356,107.8371
116.6453,112.5035,107.8132,108.3356
131.6485,116.6453,112.5035,107.8132
131.763,131.6485,116.6453,112.5035
134.5654,131.763,131.6485,116.6453
123.1325,134.5654,131.763,131.6485
119.7423,123.1325,134.5654,131.763
113.9508,119.7423,123.1325,134.5654
115.9481,113.9508,119.7423,123.1325
108.7202,115.9481,113.9508,119.7423
114.2071,108.7202,115.9481,113.9508
111.8737,114.2071,108.7202,115.9481
117.9027,111.8737,114.2071,108.7202
125.6499,117.9027,111.8737,114.2071
136.8146,125.6499,117.9027,111.8737
135.6331,136.8146,125.6499,117.9027
138.704,135.6331,136.8146,125.6499
122.5767,138.704,135.6331,136.8146
121.8879,122.5767,138.704,135.6331
118.5969,121.8879,122.5767,138.704
114.6967,118.5969,121.8879,122.5767
112.9349,114.6967,118.5969,121.8879
115.3333,112.9349,114.6967,118.5969
113.4896,115.3333,112.9349,114.6967
119.6772,113.4896,115.3333,112.9349
123.5141,119.6772,113.4896,115.3333
125.5298,123.5141,119.6772,113.4896
128.7324,125.5298,123.5141,119.6772
129.6597,128.7324,125.5298,123.5141
117.5658,129.6597,128.7324,125.5298
114.5385,117.5658,129.6597,128.7324
110.3068,114.5385,117.5658,129.6597
104.6927,110.3068,114.5385,117.5658
101.8499,104.6927,110.3068,114.5385
112.2162,101.8499,104.6927,110.3068
110.4021,112.2162,101.8499,104.6927
117.5309,110.4021,112.2162,101.8499
119.4877,117.5309,110.4021,112.2162
124.0385,119.4877,117.5309,110.4021
128.5738,124.0385,119.4877,117.5309
124.1789,128.5738,124.0385,119.4877
113.0303,124.1789,128.5738,124.0385
111.1786,113.0303,124.1789,128.5738
111.2168,111.1786,113.0303,124.1789
105.1536,111.2168,111.1786,113.0303
107.6101,105.1536,111.2168,111.1786
111.6628,107.6101,105.1536,111.2168
102.8517,111.6628,107.6101,105.1536
113.1477,102.8517,111.6628,107.6101
116.8135,113.1477,102.8517,111.6628
125.186,116.8135,113.1477,102.8517
132.7907,125.186,116.8135,113.1477
128.8211,132.7907,125.186,116.8135
116.189,128.8211,132.7907,125.186
117.67,116.189,128.8211,132.7907
103.9096,117.67,116.189,128.8211
102.2036,103.9096,117.67,116.189
109.8036,102.2036,103.9096,117.67
106.296,109.8036,102.2036,103.9096
106.1117,106.296,109.8036,102.2036
116.232,106.1117,106.296,109.8036
120.729,116.232,106.1117,106.296
132.3043,120.729,116.232,106.1117
133.1452,132.3043,120.729,116.232
129.9987,133.1452,132.3043,120.729
124.5687,129.9987,133.1452,132.3043
123.926,124.5687,129.9987,133.1452
107.2575,123.926,124.5687,129.9987
106.8015,107.2575,123.926,124.5687
111.4551,106.8015,107.2575,123.926
107.194,111.4551,106.8015,107.2575
110.2132,107.194,111.4551,106.8015
114.8196,110.2132,107.194,111.4551
119.7252,114.8196,110.2132,107.194
137.1695,119.7252,114.8196,110.2132
136.3902,137.1695,119.7252,114.8196
139.9153,136.3902,137.1695,119.7252
118.2816,139.9153,136.3902,137.1695
117.8165,118.2816,139.9153,136.3902
108.4194,117.8165,118.2816,139.9153
107.5783,108.4194,117.8165,118.2816
101.9894,107.5783,108.4194,117.8165
101.9425,101.9894,107.5783,108.4194
101.7114,101.9425,101.9894,107.5783
112.0216,101.7114,101.9425,101.9894
118.6654,112.0216,101.7114,101.9425
129.6397,118.6654,112.0216,101.7114
130.371,129.6397,118.6654,112.0216
132.0261,130.371,129.6397,118.6654
121.7363,132.0261,130.371,129.6397
116.4986,121.7363,132.0261,130.371
112.6224,116.4986,121.7363,132.0261
99.44,112.6224,116.4986,121.7363
98.0703,99.44,112.6224,116.4986
94.932,98.0703,99.44,112.6224
91.3872,94.932,98.0703,99.44
100.7496,91.3872,94.932,98.0703
110.1524,100.7496,91.3872,94.932
115.9774,110.1524,100.7496,91.3872
